id,text,source,created_at,
822594553169514497,Photo right: crowded Wash. Mall 2009 vs Left: 2017 vacancy &amp; tumbleweeds or maybe a sea of white hoods?… https://t.co/AholQHS1EA,Twitter Web Client,2017-01-20 23:59:59,
822594551718281219,Beautiful family @realDonaldTrump   Let's #MAGA! https://t.co/4HFFOkna2S,Twitter Web Client,2017-01-20 23:59:58,
822594549797240835,#MAGA 😶 https://t.co/dfVr03ip4d,Twitter for Android,2017-01-20 23:59:58,
822594549738569729,#Patriot - - - - &gt; @GopAaron #MAGA,Mobile Web (M5),2017-01-20 23:59:58,
822594547968516096,"Won't read it. You're a con man. You are disgusting. 3 yrs...364 days and counting.
#MAGA https://t.co/HlS7V4w1sW",Twitter for Android,2017-01-20 23:59:57,
822594545925890051,"We can all breathe a sigh of relief now...He's Gone!!!  #ResistFromDay1
#PresidentTrump #MAGA https://t.co/DwfpKKWsww",Twitter for iPhone,2017-01-20 23:59:57,
822594544021737473,@GeorgeTakei YES!!!! #MAGA #ITSHAPPENING #PresidentTrump,Twitter for iPhone,2017-01-20 23:59:57,
822594543040286722,Thank YOU!! #MAGA https://t.co/ShmulWDHwj,Twitter for iPhone,2017-01-20 23:59:56,
822594541991694340,#Inauguration #InauguralParade #MAGA #PresidentialInauguration #PresidentTrump https://t.co/dhAfoSSk2Z,Twitter Web Client,2017-01-20 23:59:56,
822594540720836608,"We should ""Make America Great"" by punching all the Nazis who decide to rear their defeated ideology these next 4 ye… https://t.co/jEO4m1tuXb",Twitter for Android,2017-01-20 23:59:56,
822594540393693188,@JuddApatow @RockTheVote Or continues...  #Trump2020 #MAGA,Twitter Web Client,2017-01-20 23:59:56,
822594535620571137,"We made America great again on January 20, 2009. #MAGA https://t.co/cK7Qw8fWmt",Twitter Web Client,2017-01-20 23:59:55,
822594531493347328,Congratulations @realDonaldTrump on becoming US 45th President. #MAGA .,Twitter for iPhone,2017-01-20 23:59:54,
822594522844635136,@kenkircher1 @CeciliaVega @ABC not surprised it prob makes u tingly all over. Must suck to have so much hate within...#MAGA,Twitter for iPhone,2017-01-20 23:59:51,
822594506755362816,@CarmineZozzora @FoxNew @TheJuanWilliams  #MAGA  I change the channel when Juan comes on.,Janetter dev,2017-01-20 23:59:48,
822594501449486340,"Something is off about this...but, I wasn't there so I've no clue. 

Thoughts?
#Inauguration #MAGA… https://t.co/1UE7TMk5In",Twitter for iPhone,2017-01-20 23:59:46,
822594489030209536,"@Colbster159 @Juliette_Rulz @Pamela_Moore13 @realDonaldTrump 

#MAGA",Twitter for Android,2017-01-20 23:59:43,
822594488958877698,"Give that man a job in the administration, @realDonaldTrump #MAGA https://t.co/0iz4kNlYuy",Twitter for iPhone,2017-01-20 23:59:43,
822594477307129856,"Current mood of the establishment.
#Inauguration #MAGA #Trump https://t.co/sz273aI5BC",Twitter for Android,2017-01-20 23:59:41,
