"","Candidate","text","polarity"
"1","Bernie","@Alancumming https://t.co/rB7BrdORFe so you've decided to endorse Bernie huh 😏",0
"2","Bernie","@foxnewspolitics  you're debunked headline is laughable. What is proven is that conservative policies are far worse than Bernie policies",-0.266666666666667
"3","Bernie","RT @MMFlint: Ha! Bernie is ahead in the polls in 6 of the final 9 primaries. They soooo want him gone. Sorry.  https://t.co/OWvbpHLeaQ",-0.25
"4","Bernie","RT @maliagif: Bernie Sanders introduced a bill that would make election day a national holiday called ""democracy day"" so that everyone has…",0
"5","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"6","Bernie","RT @ObiWanKevobi: That moment you realize Bernie Sanders has your vote #Bernie2016 
https://t.co/ROuXR4A6YO",0
"7","Bernie","RT @DefyGravitty: I have yet to see a Bernie sticker on a Mercedes or Lexus, or any nice car for that matter.",0.6
"8","Bernie","RT @TheLibertyMove: Bernie supporters: CORPORATIONS SHOULDN'T BE ABLE TO SPONSOR POLITICIANS!!! Unless.... #FeelTheMath https://t.co/XFlSWO…",0.9765625
"9","Bernie","RT @BernieVerse: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
https:…",0.625
"10","Bernie","RT @OMKSWorld: The honorable Bernie Sanders being rudely interrupted during rally by protesters.. They must not know who Sanders is. http:/…",-0.3
"11","Bernie","Especially if you want Bernie's nomination to carry any legitimacy. Won due to opponent's medical issue doesn't inspire loyalty.",-0.0416666666666667
"12","Bernie","RT @AlisonSpalding2: From FB 
DeAnne Holey Conroy
Bernie Sanders Activists

Bernie in #NJ!
PACKED, with NO media coverage at all,as usual h…",-0.25
"13","Bernie","RT @Brains4Bern: West Virginia: We need every Bernie supporter to bring a win home. Ignore polls. Your vote counts! #WVPrimary #GOTV https:…",1
"14","Bernie","RT @StonerVines: Bernie 2016 https://t.co/DKXjtDsnVG",0
"15","Bernie","RT @CNNPolitics: How Bernie Sanders has changed the Democratic Party https://t.co/46HIdrG51U via @mj_lee https://t.co/FKdAEvWBH5",0
"16","Bernie","RT @duetcat: @MentalRiot @missLtoe Problem with Bernie, beginning to believe his own hype.Lavishly spending young voters money while critic…",0.35
"17","Bernie","RT @seattletimes: Study says Bernie Sanders’ economic plan could pile $18 trillion on the federal debt: https://t.co/rycFro4doA https://t.c…",0.2
"18","Bernie","#Brooklyn #BernieOrBust https://t.co/jYC4HnwRrj",0
"19","Bernie","RT @fastlife3o5: This is what 21,000+ looks like at a Bernie Sanders rally in Sacramento #BernieInSacramento #FeelTheBern #bernie2016 https…",0
"20","Bernie","RT @GoldWolf0606: Let's show the establishment some Bernie power! What's his donation web page? Everybody give $1 and feel the Bern! https:…",0
"21","Bernie","RT @mostawesomeblog: .

Bernie's Campaign Manager tells CNN viewers 

BERNIE'S CAMPAIGN WILL CONTINUE TO THE CONVENTION.

Jeff Weaver https…",0
"22","Bernie","RT @BernieSanders: Tune in now to watch Bernie bring the political revolution to Atlantic City! https://t.co/CRkKB8ZOSr",0
"23","Bernie","@mourningmama if your hamsters are tan name one Bernie SANDers",0
"24","Bernie","@Landorcan Bernie wasn't a democrat until he had to pick a side same as trump they are bookends he's a self proclaimed Socialist Unamerican",0
"25","Bernie","Bonkers awesome that Bernie is having a meeting on Pine Ridge. Didn't it take like 5 years before Obama visited Rez (and banned kxl talk?)",1
"26","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"27","Bernie","RT @1PhoenixDragon: I voted Bernie Sanders. 30yrs experience of not selling us out is what we need in a leader #WVprimary #WestVirginia #We…",0
"28","Bernie","What part of 3 million votes ahead doesn't #Bernie get!",0
"29","Bernie","1% Hillary VS 99% Bernie",0
"30","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"31","Bernie","RT @BernieCrats1: saracohennyc: Looks like going to be yuuuge turn out at Sacramento bernie rally https://t.co/jJmwsZlMaS",0
"32","Bernie","Watching the Bernie Mac show",0
"33","Bernie","@Jason_Ryan2929 Right- I'd add it's BOTH Bernie's dishonesty AND his tacit approval of some of his followers' ugly behavior",-0.207142857142857
"34","Bernie","RT @nyc118: @JoyAnnReid Shocked by otherwise intelligent Bernie supporters seeing every poll hiccup in NYS as conspiracy.",0.05
"35","Bernie","RT @ObiWanKevobi: That moment you realize Bernie Sanders has your vote #Bernie2016 
https://t.co/ROuXR4A6YO",0
"36","Bernie","RT @DanteForesi: Reemplazaron a  @PedroBriegerOk con Natasha Niebieskikwiat y bautizó a Bernie Sanders como ""Bernie Sanchez"" https://t.co/A…",0
"37","Bernie","RT @AnthonyEBirdman: Starting In #WVPrimary @BernieSanders  Could Win 8 Of Next 9 Primaries
@People4Bernie @Women4Bernie @Bernlennials http…",0.266666666666667
"38","Bernie","RT @docrocktex26: Sorry, Bernie fans. His health care plan is short $17,000,000,000,000. https://t.co/0GhwlANOgv",-0.25
"39","Bernie","RT @AlisonSpalding2: From FB 
Josette Capozzi
""Today, at least 7,000 rallied for Bernie Sanders in NJ! #bernbrighter #jerseyisBERNING"" http…",-0.375
"40","Bernie","@EWdeVlieger Alleen een Bernie Sanders komt in de richting van het NL linkse gedachtengoed, maar die wordt genegeerd.",0
"41","Bernie","RT @AlisonSpalding2: Danny Glover, actor &amp; activist w deep roots in San Francisco politics
 to introduce Bernie Sanders in Sacramento 

htt…",0
"42","Bernie","RT @Latinos4Bernie: New Mexico | You must be registered to vote as a Democrat by TOMORROW to vote for Bernie.
👉https://t.co/ptH6HLwvIu http…",0.136363636363636
"43","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"44","Bernie","@gabzoots I liked what Bernie Sanders had to say on that, too: https://t.co/0kP8e56jIu",0.6
"45","Bernie","Bernie Mac don't sugarcoat.... #BernieMac #quotes https://t.co/CBQtuHUlzn",0
"46","Bernie","RT @jbaby56: NJ for Hillary, I'm in New Jersey and I will vote for her big time. I have not seen one Bernie lawn sign or sticker. https://t…",0.0681818181818182
"47","Bernie","Dat boi is the new Hillary VS Bernie 

It was funny once, and then meme accounts were made. It's over.",0.193181818181818
"48","Bernie","RT Danny Glover, actor &amp; activist w deep roots in San Francisco politics to introduce Bernie Sanders in Sacramento:… https://t.co/Nak9CVzLaN",0
"49","Bernie","RT @CBSSacramento: WATCH LIVE: If you couldn't make it to the Bernie Sanders rally, we're streaming it live at https://t.co/RPG8h7F4RR http…",0.136363636363636
"50","Bernie","Retweeted Nomiki Konst (@NomikiKonst):

It’s Official: Thousands More Women Donating to Bernie Sanders Than... https://t.co/kTAqYhVem8",0.5
"51","Bernie","RT @Socialist_Times: Sarah Silverman: Don’t You Give Up On Bernie https://t.co/Hef4HKE6Nm

#BernieOrBust #FeeltheBern #WeAreBernie #P2 http…",0
"52","Bernie","I need Bernie Sanders to hurry up and win",0.8
"53","Bernie","Let's show the establishment some Bernie power! What's his donation web page? Everybody give $1 and feel the Bern! https://t.co/S3GrWtEseA",0
"54","Bernie","@OnlyWhiteTiger He's feeding Bernie's loons some more goofy juice.",0.5
"55","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"56","Bernie","RT @Libertea2012: RT Danny Glover, actor &amp; activist w deep roots in San Francisco politics to introduce Bernie Sanders in Sacramento:… http…",0
"57","Bernie","#FeelTheBern #BernieOrBust #CAPrimary #ORPrimary #WVPrimary #KYPrimary https://t.co/7EjtwxZY1V",0
"58","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"59","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"60","Bernie","@ManMet80 Let me quote you: ""GOP is funding Bernie's campaign"". Someone else thought this was good enough to RT. I have nothing to add",0.35
"61","Bernie","RT @STrimel: Bernie polls ahead in 6 of 9 final contests.

Hillary already lurched right so NO Dem can be surprised.

Still time 2 elect a…",0.296428571428571
"62","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"63","Bernie","RT @Dallas4Hillary: Politico:  It's mathematically impossible for Bernie to win with pledged delegates https://t.co/8RODCb8nOG",0.0666666666666667
"64","Bernie","RT @Bohemianmoon: #Hillary's husband has sexually assaulted women for yrs. @Billclinton criminal &amp; shld be no where near WH #Bernie https:/…",0.0666666666666667
"65","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"66","Bernie","Bernie Sanders’s air route claim rejected by Fine Gael MEP https://t.co/drtmfWqUiG",0.416666666666667
"67","Bernie","RT @bannerite: #MSNBC Why big crowds don’t equal big votes for Bernie Sanders - The Boston Globe https://t.co/BJZ342BUts",0
"68","Bernie","RT @Benzinga: See What Them Racket Boys Can Do: Carl Icahn, Bernie Sanders Trade Barbs On Atlantic City https://t.co/Crg3FnC71A https://t.c…",0
"69","Bernie","Interesting concept. They beat Bernie to the punch-Via @NPR: These People Can Make Student Loans Disappear https://t.co/h3dvNBxjjD",0.5
"70","Bernie","Bernie Sanders announced that we've passed 7,300,000 individual contributions! We're gonna need it for California https://t.co/4g1HPjsuWm",0
"71","Bernie","RT @eileendefreest: Oh Bernie, Jane, Susan, Rosario and Tim, there is no ""revolution"". It's just politics moving at the same sane, glacial…",0
"72","Bernie","RT @BerninForBernie: Want peace? Vote #BernieSanders
No more #perpetual wars!
Think of your children and their children! #GOTVforBernie  ht…",-0.390625
"73","Bernie","RT @MSignorile: Bernie Sanders Cancels Meeting with HIV/AIDS Activists, Won’t Return Calls and Emails https://t.co/exxA4hW7Ne",0
"74","Bernie","RT @MAHAMOSA: We need Bernie b/c T is competitive &amp; beating H in key primary swing states. #FeelTheBern #LA #SF #WV #SanDiego #OR https://t…",0.2
"75","Bernie","#BernieSanders Sacramento, California Rally: The Pictures You Need to See https://t.co/tGOWbfVr3N #FeelTheBern #CAPrimary",0
"76","Bernie","RT @TheTweetOfGod: It's Bernie. https://t.co/0AhAbDDdSf",0
"77","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"78","Bernie","RT @charles_gaba: This quote completely encapsulates Bernie’s philosophy: Everything or nothing at all. Guess what that’ll get you? 

 http…",0.1
"79","Bernie","RT @vandercunts: me going to vote for Hillary in the fall when Bernie loses the nomination https://t.co/wV5liveEBy",-0.3
"80","Bernie","RT @mankerlaw: Veterans, sign on to stand with Bernie at https://t.co/wl7wwdeCf2 @Vets4Bernie https://t.co/3sGkQcymiO",0
"81","Bernie","@jaycowit @bvalentine14 I hear that, but the data in that QP poll is deeply insightful. Also, Bernie performs better than HRC over &amp; over.",0.25
"82","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"83","Bernie","RT @OccupyWallStNYC: Media Silent as @BernieSanders Packs California Stadium Beyond Capacity (PHOTOS) https://t.co/vhyvUSHsT5 https://t.co/…",0
"84","Bernie","RT @TheCoreyColeman: Just found out I'll be wearing the jersey number of Browns Legend Bernie Kosar. I couldn't be more humbled and excited…",0.5
"85","Bernie","RT @NextwaveRay: Top economist says Bernie’s plan will actually SAVE the U.S. $5 Trillion
https://t.co/1JwjAPTAQf #DropOutHillary #StillSan…",0.25
"86","Bernie","RT @LabourEoin: A modest gathering of Bernie Sanders's supporters in Sacramento, California last night. https://t.co/h8RCvWLUsp",0.05
"87","Bernie","If Bernie would have won it media  would say Bernie's getting his momentum back lol    https://t.co/SkMYLc0WsX",0.4
"88","Bernie","RT @BernieSanders: Looking forward to our rally tonight in Sacramento! See details and RSVP here: https://t.co/KbFNAs0IjM #CAforBernie",0
"89","Bernie","#BernieOrBust  https://t.co/kZDV1H8rn1",0
"90","Bernie","RT @RevoltPolitic: I'm #StillSanders. I'm forever with Bernie Sanders. https://t.co/me5StQ9IaS",0
"91","Bernie","RT @KatiePavlich: Attention Bernie supporters! ---&gt; Venezuelans Now Killing Cats, Dogs, Birds For Food Because Socialism Can't Provide http…",0
"92","Bernie","RT @CounterMoonbat: Your periodic reminder that Bernie Sanders is a loon. https://t.co/3SiTUoLF2h",0
"93","Bernie","Sanders ran for president at his high school , platform included raising money for Korean orphans
https://t.co/GpnQDPkgwd
#BernieOrBust",0.16
"94","Bernie","RT @iamdankaufman: 📷 Bernie Sanders stopped by The Late Show with Stephen Colbert Monday night and helped Stephen retrieve... https://t.co/…",-0.3
"95","Bernie","#DropOutHillary 
#BloodOnHerHands 
#FollowTheMoney
#NotTrustworthy
#Evil

#Honesty #Integrity  #Dignity with Bernie https://t.co/bykNw3Muw7",-1
"96","Bernie","RT @ObiWanKevobi: That moment you realize Bernie Sanders has your vote #Bernie2016 
https://t.co/ROuXR4A6YO",0
"97","Bernie","RT @Shadz66Shadz6t6: No More Ironic 2Criticize #Capitalism Than4 Slaves2 H8 Slavery! @michaeltg @Lglwry @BluebellBw @TwoOneSix216 #Bernie h…",0
"98","Bernie","RT @Georgiemutt: #Vote for a #MoralEconomy #WVPrimary vote for #BernieSandersForPresident2016  https://t.co/F0CmX6ExP3",0
"99","Bernie","RT @shevlin_josiah: Danny Glover to introduce Bernie Sanders in Sacramento https://t.co/ddjCpvAB91",0
"100","Bernie","@sydneylanore how do I get involved with the Bernie campaign syd",0
"101","Bernie","Bernie voted for the Crime Bill just like Hillary did so...",0
"102","Bernie","Bernie Sanders LIVE from Sacramento, CA - A Future to Believe in Rally https://t.co/b70Q3pOgEg via @YouTube #feelthebern",0.0681818181818182
"103","Bernie","See What Them Racket Boys Can Do: Carl Icahn, Bernie Sanders Trade Barbs On Atlantic City https://t.co/Crg3FnC71A https://t.co/qzDnYGW0BD",0
"104","Bernie","RT @PaladinCornelia: Bernie's plans create $21 trillion in new debt.
Donald says he like to ""play with debt"".
What a duo!

#ImWithHer https…",0.170454545454545
"105","Bernie","RT @HuffPostPol: ""Wingman"" Bernie Sanders helps staffer propose to girlfriend https://t.co/MU41jx4EVW https://t.co/07I3vNAxYM",0
"106","Bernie","@LemayAway Homeless and Bernie supporters. I thought they were the same thing?",0
"107","Bernie","RT BernieSanders: Looking forward to our rally tonight in Sacramento! See details and RSVP here: https://t.co/yMdMtOmPaA #CAforBernie",0
"108","Bernie","RT @sankrant: Good read by @freentglty @vivekagnihotri 
But Indian Left isn't a Bernie Sanders, but violent Marxist terror groups. https://…",-0.0333333333333334
"109","Bernie","RT @CriticalPurge: Bernie supporters aren’t taking the DNC’s ‘behave’ edict very well #DropOutHillary #FeelTheBern https://t.co/e6FqBtQcyM…",0.2
"110","Bernie","@CBSSacramento what Bernie Sanders wants to do for America. the same thing Hugo Chavez did for Venezuela..https://t.co/Qmk2RSu5K8",0.1
"111","Bernie","RT @BernieSanders: California – make sure you're registered as a Democrat or request a Democratic ballot to vote for Bernie on June 7!
http…",0.625
"112","Bernie","Live: Bernie Sanders Rally Stockton CA
#NMPrimary #NewMexico #SantaFe #WVPrimary #WestVirginia  #WVState #Primary
https://t.co/ZhjZn4AMQW",0.268181818181818
"113","Bernie","RT @sanderswins: #NJPrimary voters! @BernieSanders is up against the billionaires bilking Atlantic City workers. They are angry!
https://t.…",-0.625
"114","Bernie","RT @BernieSanders: Looking forward to our rally tonight in Sacramento! See details and RSVP here: https://t.co/KbFNAs0IjM #CAforBernie",0
"115","Bernie","RT @illumilitia: my mom would be a better president than Hillary, Bernie, or trump",0.5
"116","Bernie","RT @MelissaBidot: #FeelTheBern #StillSanders #DropOutHillary #Bernie2016 #bernieblackout #BernieStrong #MediaBias  #BernieOrBust  https://t…",0
"117","Bernie","RT @Libertea2012: RT Danny Glover, actor &amp; activist w deep roots in San Francisco politics to introduce Bernie Sanders in Sacramento:… http…",0
"118","Bernie","RT @JamiaStarheart: RT @DaveHerter: 3/21/16 Media Silent as Bernie Sanders Packs Seattle Arena Beyond Capacity (LIVE VIDEO)https://t.co/wX2…",0.0681818181818182
