"","user_location","frequency"
"1","Alabama",48
"2","Alaska",20
"3","Arizona",108
"4","Arkansas",44
"5","California",299
"6","Colorado",255
"7","Connecticut",28
"8","Delaware",28
"9","Florida",367
"10","Georgia",124
"11","Hawaii",15
"12","Idaho",37
"13","Illinois",70
"14","Indiana",99
"15","Iowa",78
"16","Kansas",29
"17","Kentucky",47
"18","Louisiana",115
"19","Maine",35
"20","Maryland",64
"21","Massachusetts",67
"22","Michigan",121
"23","Minnesota",113
"24","Mississippi",18
"25","Missouri",66
"26","Montana",29
"27","Nebraska",15
"28","Nevada",17
"29","New Hampshire",28
"30","New Jersey",110
"31","New Mexico",16
"32","New York",387
"33","North Carolina",181
"34","North Dakota",1
"35","Ohio",113
"36","Oklahoma",53
"37","Oregon",60
"38","Pennsylvania",86
"39","Rhode Island",9
"40","South Carolina",63
"41","South Dakota",3
"42","Tennessee",100
"43","Texas",652
"44","Utah",42
"45","Vermont",9
"46","Virginia",108
"47","Washington",62
"48","West Virginia",50
"49","Wisconsin",67
"50","Wyoming",21
